Epoch,Loss_train
200,"(0.12402477860450745,)"
201,"(0.12386208772659302,)"
202,"(0.12370042502880096,)"
203,"(0.1235397681593895,)"
204,"(0.1233799010515213,)"
205,"(0.12322086840867996,)"
206,"(0.12306295335292816,)"
207,"(0.12290589511394501,)"
208,"(0.12274974584579468,)"
209,"(0.12259455025196075,)"
210,"(0.12244030088186264,)"
211,"(0.12228713184595108,)"
212,"(0.12213508784770966,)"
213,"(0.12198354303836823,)"
214,"(0.12183227390050888,)"
215,"(0.12168055027723312,)"
216,"(0.12152934819459915,)"
217,"(0.12137871235609055,)"
218,"(0.12122884392738342,)"
219,"(0.1210796982049942,)"
220,"(0.120931476354599,)"
221,"(0.12078429758548737,)"
222,"(0.12063796818256378,)"
223,"(0.1204928457736969,)"
224,"(0.12034886330366135,)"
225,"(0.12020600587129593,)"
226,"(0.12006421387195587,)"
227,"(0.11992362886667252,)"
228,"(0.1197841688990593,)"
229,"(0.11964599788188934,)"
230,"(0.11950895935297012,)"
231,"(0.11937321722507477,)"
232,"(0.11923857033252716,)"
233,"(0.11910484731197357,)"
234,"(0.11897233873605728,)"
235,"(0.11884073913097382,)"
236,"(0.11871004849672318,)"
237,"(0.11858033388853073,)"
238,"(0.1184515580534935,)"
239,"(0.11832374334335327,)"
240,"(0.1181970089673996,)"
241,"(0.11807122826576233,)"
242,"(0.11794622242450714,)"
243,"(0.11782237887382507,)"
244,"(0.11769966781139374,)"
245,"(0.11757777631282806,)"
246,"(0.11745686829090118,)"
247,"(0.11733715236186981,)"
248,"(0.11721854656934738,)"
249,"(0.11710090190172195,)"
250,"(0.11698391288518906,)"
251,"(0.11686798930168152,)"
252,"(0.1167530044913292,)"
253,"(0.11663897335529327,)"
254,"(0.11652597039937973,)"
255,"(0.11641405522823334,)"
256,"(0.11630324274301529,)"
257,"(0.1161934956908226,)"
258,"(0.11608459800481796,)"
259,"(0.11597662419080734,)"
260,"(0.11586948484182358,)"
261,"(0.11576330661773682,)"
262,"(0.11565812677145004,)"
263,"(0.11555387079715729,)"
264,"(0.11545062810182571,)"
265,"(0.11534828692674637,)"
266,"(0.11524708569049835,)"
267,"(0.11514689028263092,)"
268,"(0.11504778265953064,)"
269,"(0.11494940519332886,)"
270,"(0.1148519292473793,)"
271,"(0.11475525796413422,)"
272,"(0.11465945839881897,)"
273,"(0.11456461995840073,)"
274,"(0.1144707053899765,)"
275,"(0.11437763273715973,)"
276,"(0.11428552120923996,)"
277,"(0.11419431120157242,)"
278,"(0.11410398036241531,)"
279,"(0.1140146479010582,)"
280,"(0.1139262393116951,)"
281,"(0.11383884400129318,)"
282,"(0.11375227570533752,)"
283,"(0.11366656422615051,)"
