Epoch,Loss_train
1,"(0.7050535082817078,)"
2,"(0.6995542645454407,)"
3,"(0.6941057443618774,)"
4,"(0.6887046098709106,)"
5,"(0.6833513975143433,)"
6,"(0.6780466437339783,)"
7,"(0.6727909445762634,)"
8,"(0.6675845384597778,)"
9,"(0.6624268889427185,)"
10,"(0.6573191285133362,)"
11,"(0.6522613763809204,)"
12,"(0.6472529768943787,)"
13,"(0.64229416847229,)"
14,"(0.6373844742774963,)"
15,"(0.6325235366821289,)"
16,"(0.627711296081543,)"
17,"(0.6229471564292908,)"
18,"(0.618230402469635,)"
19,"(0.613560676574707,)"
20,"(0.6089357733726501,)"
21,"(0.6043561100959778,)"
22,"(0.5998209714889526,)"
23,"(0.5953302383422852,)"
24,"(0.5908839106559753,)"
25,"(0.5864807367324829,)"
26,"(0.582119882106781,)"
27,"(0.5778003334999084,)"
28,"(0.573521614074707,)"
29,"(0.5692839026451111,)"
30,"(0.5650869011878967,)"
31,"(0.5609295964241028,)"
32,"(0.5568116903305054,)"
33,"(0.5527324676513672,)"
34,"(0.5486915111541748,)"
35,"(0.5446893572807312,)"
36,"(0.5407246947288513,)"
37,"(0.536797285079956,)"
38,"(0.5329065322875977,)"
39,"(0.5290523171424866,)"
40,"(0.5252337455749512,)"
41,"(0.5214498043060303,)"
42,"(0.5177008509635925,)"
43,"(0.5139867067337036,)"
44,"(0.5103068947792053,)"
45,"(0.5066617727279663,)"
46,"(0.5030514597892761,)"
47,"(0.4994751214981079,)"
48,"(0.49593254923820496,)"
49,"(0.49242323637008667,)"
50,"(0.4889472424983978,)"
51,"(0.48550447821617126,)"
52,"(0.4820942282676697,)"
53,"(0.4787159860134125,)"
54,"(0.47537049651145935,)"
55,"(0.472057044506073,)"
56,"(0.46877503395080566,)"
57,"(0.46552497148513794,)"
58,"(0.4623072147369385,)"
59,"(0.45912203192710876,)"
60,"(0.45596858859062195,)"
61,"(0.4528469145298004,)"
62,"(0.4497571289539337,)"
63,"(0.44669824838638306,)"
64,"(0.4436704218387604,)"
65,"(0.44067347049713135,)"
66,"(0.43770676851272583,)"
67,"(0.43477022647857666,)"
68,"(0.43186450004577637,)"
69,"(0.42898961901664734,)"
70,"(0.42614510655403137,)"
71,"(0.4233308434486389,)"
72,"(0.42054614424705505,)"
73,"(0.41779083013534546,)"
74,"(0.4150645434856415,)"
75,"(0.41236767172813416,)"
76,"(0.40970033407211304,)"
77,"(0.40706250071525574,)"
78,"(0.4044542610645294,)"
79,"(0.40187498927116394,)"
80,"(0.3993249833583832,)"
81,"(0.39680394530296326,)"
82,"(0.3943116068840027,)"
83,"(0.3918479382991791,)"
84,"(0.38941285014152527,)"
85,"(0.3870062530040741,)"
86,"(0.38462793827056885,)"
87,"(0.38227716088294983,)"
88,"(0.379954069852829,)"
89,"(0.37765830755233765,)"
90,"(0.37538865208625793,)"
91,"(0.3731454908847809,)"
92,"(0.37092849612236023,)"
93,"(0.36873769760131836,)"
94,"(0.3665730953216553,)"
95,"(0.3644344210624695,)"
96,"(0.3623214364051819,)"
97,"(0.3602339029312134,)"
98,"(0.35817158222198486,)"
99,"(0.3561341166496277,)"
100,"(0.3541213870048523,)"
101,"(0.3521333634853363,)"
102,"(0.3501698076725006,)"
103,"(0.34823042154312134,)"
104,"(0.34631434082984924,)"
105,"(0.3444213271141052,)"
106,"(0.34255164861679077,)"
107,"(0.34070485830307007,)"
108,"(0.3388809561729431,)"
109,"(0.33707937598228455,)"
110,"(0.3352995216846466,)"
111,"(0.33354178071022034,)"
112,"(0.331805944442749,)"
113,"(0.3300916850566864,)"
114,"(0.3283988833427429,)"
115,"(0.32672715187072754,)"
116,"(0.3250764310359955,)"
117,"(0.3234463036060333,)"
118,"(0.3218364119529724,)"
119,"(0.32024627923965454,)"
120,"(0.318675696849823,)"
121,"(0.31712406873703003,)"
122,"(0.31559163331985474,)"
123,"(0.3140781819820404,)"
124,"(0.3125835061073303,)"
125,"(0.3111068904399872,)"
126,"(0.30964842438697815,)"
127,"(0.3082078695297241,)"
128,"(0.30678513646125793,)"
129,"(0.3053801655769348,)"
130,"(0.3039925694465637,)"
131,"(0.3026221692562103,)"
132,"(0.30126816034317017,)"
133,"(0.299930214881897,)"
134,"(0.2986087501049042,)"
135,"(0.29730352759361267,)"
136,"(0.29601436853408813,)"
137,"(0.2947409749031067,)"
138,"(0.29348328709602356,)"
139,"(0.2922406792640686,)"
140,"(0.2910131812095642,)"
141,"(0.2898004353046417,)"
142,"(0.2886023223400116,)"
143,"(0.28741833567619324,)"
144,"(0.2862486243247986,)"
145,"(0.2850930392742157,)"
146,"(0.28395140171051025,)"
147,"(0.2828236222267151,)"
148,"(0.28170934319496155,)"
149,"(0.280608206987381,)"
150,"(0.2795201539993286,)"
151,"(0.2784450352191925,)"
152,"(0.2773827314376831,)"
153,"(0.2763330340385437,)"
154,"(0.27529579401016235,)"
155,"(0.2742707133293152,)"
156,"(0.2732575833797455,)"
157,"(0.27225637435913086,)"
158,"(0.27126672863960266,)"
159,"(0.27028849720954895,)"
160,"(0.2693217098712921,)"
161,"(0.26836609840393066,)"
162,"(0.26742151379585266,)"
163,"(0.26648789644241333,)"
164,"(0.26556506752967834,)"
165,"(0.26465287804603577,)"
166,"(0.26375114917755127,)"
167,"(0.2628597915172577,)"
168,"(0.2619785964488983,)"
169,"(0.2611073851585388,)"
170,"(0.26024600863456726,)"
171,"(0.25939422845840454,)"
172,"(0.2585521936416626,)"
173,"(0.25771957635879517,)"
174,"(0.25689616799354553,)"
175,"(0.25608181953430176,)"
176,"(0.25527653098106384,)"
177,"(0.2544800937175751,)"
178,"(0.25369247794151306,)"
179,"(0.25291353464126587,)"
180,"(0.25214311480522156,)"
181,"(0.2513810992240906,)"
182,"(0.25062739849090576,)"
183,"(0.24988184869289398,)"
184,"(0.2491443157196045,)"
185,"(0.24841472506523132,)"
186,"(0.2476930171251297,)"
187,"(0.24697913229465485,)"
188,"(0.24627286195755005,)"
189,"(0.24557410180568695,)"
190,"(0.24488265812397003,)"
191,"(0.24419844150543213,)"
192,"(0.2435212880373001,)"
193,"(0.24285103380680084,)"
194,"(0.2421877086162567,)"
195,"(0.24153122305870056,)"
196,"(0.24088145792484283,)"
197,"(0.24023836851119995,)"
198,"(0.23960177600383759,)"
199,"(0.23897162079811096,)"
200,"(0.2383478432893753,)"
201,"(0.23773036897182465,)"
202,"(0.2371189147233963,)"
203,"(0.23651352524757385,)"
204,"(0.23591411113739014,)"
205,"(0.23532064259052277,)"
206,"(0.23473314940929413,)"
207,"(0.2341514229774475,)"
208,"(0.23357538878917694,)"
209,"(0.23300500214099884,)"
210,"(0.23244011402130127,)"
211,"(0.23188067972660065,)"
212,"(0.23132628202438354,)"
213,"(0.2307770550251007,)"
214,"(0.23023299872875214,)"
215,"(0.22969406843185425,)"
216,"(0.2291601598262787,)"
217,"(0.22863122820854187,)"
218,"(0.22810716927051544,)"
219,"(0.22758790850639343,)"
220,"(0.22707341611385345,)"
221,"(0.22656367719173431,)"
222,"(0.22605858743190765,)"
223,"(0.2255578339099884,)"
224,"(0.22506152093410492,)"
225,"(0.22456961870193481,)"
226,"(0.2240820974111557,)"
227,"(0.2235988825559616,)"
228,"(0.22311988472938538,)"
229,"(0.22264505922794342,)"
230,"(0.22217437624931335,)"
231,"(0.22170774638652802,)"
232,"(0.22124522924423218,)"
233,"(0.22078664600849152,)"
234,"(0.22033196687698364,)"
235,"(0.21988116204738617,)"
236,"(0.21943417191505432,)"
237,"(0.21899087727069855,)"
238,"(0.21855133771896362,)"
239,"(0.21811543405056,)"
240,"(0.21768316626548767,)"
241,"(0.21725448966026306,)"
242,"(0.216829314827919,)"
243,"(0.21640761196613312,)"
244,"(0.215989351272583,)"
245,"(0.2155744433403015,)"
246,"(0.21516290307044983,)"
247,"(0.2147546112537384,)"
248,"(0.21434956789016724,)"
249,"(0.21394772827625275,)"
250,"(0.21354904770851135,)"
251,"(0.21315348148345947,)"
252,"(0.21276096999645233,)"
253,"(0.21237146854400635,)"
254,"(0.21198497712612152,)"
255,"(0.2116014063358307,)"
256,"(0.21122075617313385,)"
257,"(0.21084295213222504,)"
258,"(0.21046793460845947,)"
259,"(0.21009568870067596,)"
260,"(0.20972615480422974,)"
261,"(0.20935936272144318,)"
262,"(0.20899522304534912,)"
263,"(0.20863373577594757,)"
264,"(0.20827488601207733,)"
265,"(0.20791861414909363,)"
266,"(0.20756487548351288,)"
267,"(0.20721367001533508,)"
268,"(0.20686490833759308,)"
269,"(0.20651856064796448,)"
270,"(0.2061745971441269,)"
271,"(0.20583301782608032,)"
272,"(0.2054937779903412,)"
273,"(0.2051568478345871,)"
274,"(0.2048221230506897,)"
275,"(0.20448964834213257,)"
276,"(0.20415934920310974,)"
277,"(0.20383122563362122,)"
278,"(0.2035052478313446,)"
279,"(0.20318137109279633,)"
280,"(0.20285958051681519,)"
281,"(0.2025398313999176,)"
282,"(0.20222215354442596,)"
283,"(0.2019064575433731,)"
284,"(0.20159275829792023,)"
285,"(0.20128102600574493,)"
286,"(0.20097124576568604,)"
287,"(0.20066311955451965,)"
288,"(0.20035682618618011,)"
289,"(0.20005230605602264,)"
290,"(0.19974961876869202,)"
291,"(0.19944871962070465,)"
292,"(0.19914956390857697,)"
293,"(0.198852077126503,)"
294,"(0.19855616986751556,)"
295,"(0.19826191663742065,)"
296,"(0.19796933233737946,)"
297,"(0.19767840206623077,)"
298,"(0.19738903641700745,)"
299,"(0.19710130989551544,)"
300,"(0.1968151479959488,)"
301,"(0.19653059542179108,)"
302,"(0.19624754786491394,)"
303,"(0.19596600532531738,)"
304,"(0.19568593800067902,)"
305,"(0.19540740549564362,)"
306,"(0.19513031840324402,)"
307,"(0.1948547065258026,)"
308,"(0.19458051025867462,)"
309,"(0.19430775940418243,)"
310,"(0.1940363645553589,)"
311,"(0.19376637041568756,)"
312,"(0.19349773228168488,)"
313,"(0.19323043525218964,)"
314,"(0.19296446442604065,)"
315,"(0.19269981980323792,)"
316,"(0.19243648648262024,)"
317,"(0.19217440485954285,)"
318,"(0.19191361963748932,)"
319,"(0.19165410101413727,)"
320,"(0.1913958191871643,)"
321,"(0.19113877415657043,)"
322,"(0.19088292121887207,)"
323,"(0.1906282603740692,)"
324,"(0.19037477672100067,)"
325,"(0.19012247025966644,)"
326,"(0.18987129628658295,)"
327,"(0.18962126970291138,)"
328,"(0.18937239050865173,)"
329,"(0.18912456929683685,)"
330,"(0.1888778656721115,)"
331,"(0.18863222002983093,)"
332,"(0.18838763236999512,)"
333,"(0.18814408779144287,)"
334,"(0.1879016011953354,)"
335,"(0.1876600980758667,)"
336,"(0.187419593334198,)"
337,"(0.18718008697032928,)"
338,"(0.18694154918193817,)"
339,"(0.18670400977134705,)"
340,"(0.18646742403507233,)"
341,"(0.186231791973114,)"
342,"(0.1859970986843109,)"
343,"(0.18576328456401825,)"
344,"(0.1855303943157196,)"
345,"(0.1852983832359314,)"
346,"(0.18506722152233124,)"
347,"(0.1848369538784027,)"
348,"(0.18460755050182343,)"
349,"(0.18437901139259338,)"
350,"(0.18415126204490662,)"
351,"(0.1839243620634079,)"
352,"(0.18369829654693604,)"
353,"(0.18347303569316864,)"
354,"(0.18324856460094452,)"
355,"(0.18302488327026367,)"
356,"(0.1828019767999649,)"
357,"(0.1825798600912094,)"
358,"(0.1823584884405136,)"
359,"(0.1821378618478775,)"
360,"(0.18191801011562347,)"
361,"(0.18169887363910675,)"
362,"(0.18148046731948853,)"
363,"(0.1812627613544464,)"
364,"(0.1810457706451416,)"
365,"(0.1808294802904129,)"
366,"(0.18061389029026031,)"
367,"(0.18039897084236145,)"
368,"(0.1801847368478775,)"
369,"(0.17997108399868011,)"
370,"(0.17975808680057526,)"
371,"(0.17954573035240173,)"
372,"(0.17933399975299835,)"
373,"(0.1791228950023651,)"
374,"(0.1789124310016632,)"
375,"(0.17870257794857025,)"
376,"(0.17849333584308624,)"
377,"(0.17828471958637238,)"
378,"(0.17807671427726746,)"
379,"(0.1778692752122879,)"
380,"(0.1776624321937561,)"
381,"(0.17745614051818848,)"
382,"(0.17725041508674622,)"
383,"(0.17704524099826813,)"
384,"(0.17684060335159302,)"
385,"(0.17663651704788208,)"
386,"(0.17643296718597412,)"
387,"(0.17622996866703033,)"
388,"(0.17602747678756714,)"
389,"(0.17582553625106812,)"
390,"(0.1756240874528885,)"
391,"(0.17542318999767303,)"
392,"(0.17522279918193817,)"
393,"(0.1750229150056839,)"
394,"(0.17482350766658783,)"
395,"(0.17462460696697235,)"
396,"(0.17442621290683746,)"
397,"(0.17422828078269958,)"
398,"(0.1740308254957199,)"
399,"(0.17383383214473724,)"
400,"(0.17363731563091278,)"
401,"(0.17344126105308533,)"
402,"(0.17324566841125488,)"
403,"(0.17305050790309906,)"
404,"(0.17285579442977905,)"
405,"(0.17266157269477844,)"
406,"(0.17246773838996887,)"
407,"(0.17227433621883392,)"
408,"(0.1720813661813736,)"
409,"(0.17188884317874908,)"
410,"(0.1716967076063156,)"
411,"(0.17150501906871796,)"
412,"(0.17131374776363373,)"
413,"(0.17112289369106293,)"
414,"(0.17093244194984436,)"
415,"(0.17074242234230042,)"
416,"(0.17055274546146393,)"
417,"(0.17036351561546326,)"
418,"(0.17017467319965363,)"
419,"(0.16998623311519623,)"
420,"(0.16979818046092987,)"
421,"(0.16961048543453217,)"
422,"(0.1694231927394867,)"
423,"(0.16923630237579346,)"
424,"(0.16904976963996887,)"
425,"(0.16886359453201294,)"
426,"(0.16867780685424805,)"
427,"(0.1684924066066742,)"
428,"(0.1683073341846466,)"
429,"(0.16812261939048767,)"
430,"(0.1679382622241974,)"
431,"(0.16775424778461456,)"
432,"(0.16757062077522278,)"
433,"(0.16738730669021606,)"
434,"(0.167204350233078,)"
435,"(0.1670217365026474,)"
436,"(0.16683948040008545,)"
437,"(0.16665755212306976,)"
438,"(0.16647595167160034,)"
439,"(0.16629467904567719,)"
440,"(0.16611376404762268,)"
441,"(0.16593314707279205,)"
