risk_true,risk_predicted
0.13007413,0.13014606
0.12452919,0.12322126
0.14224872,0.14834842
0.10754332,0.10901676
0.15720771,0.1629456
0.13452914,0.12217981
0.11856474,0.1262869
0.12434326,0.13220288
0.14577778,0.14599116
0.15151516,0.15621914
0.13283208,0.1334766
0.113520406,0.10923267
0.14304462,0.14386055
0.1525199,0.14962828
0.16165951,0.15815963
0.13733906,0.13978453
0.112716764,0.11541348
0.1447178,0.14107144
0.15296052,0.13663197
0.15304348,0.15561765
0.14464286,0.14317848
0.14074074,0.14261417
0.13636364,0.1412256
0.17344753,0.16770685
0.12803532,0.12086727
0.08527132,0.08334518
0.15544042,0.15408744
0.1697128,0.17182037
0.125,0.1279861
0.17270195,0.18594682
0.11048159,0.11674065
0.16320474,0.1730561
0.13414635,0.13949062
0.17701863,0.18306363
0.11838006,0.13344349
0.12140575,0.12967561
0.15,0.15487799
0.117056854,0.11600457
0.11447811,0.096326165
0.121527776,0.1281168
0.14545454,0.14470121
0.091240875,0.10759586
0.10486891,0.10490659
0.0859375,0.104224905
0.14403293,0.14631735
0.1446281,0.13485537
0.16666667,0.15591441
0.13777778,0.13562186
0.13744076,0.12907845
0.1042654,0.109007746
0.09134615,0.09574995
0.1875,0.16748013
0.16582915,0.16745053
0.1185567,0.12703519
0.119170986,0.13850516
0.13989638,0.13129151
0.1,0.0928616
0.15873016,0.1539221
0.15846995,0.15714829
0.09392265,0.12615141
0.10555556,0.10755668
0.11173184,0.1245345
0.118644066,0.123351
0.118644066,0.14117566
0.15517241,0.17976333
0.18965517,0.19531196
0.15662651,0.18220812
0.09146342,0.11405626
0.111801244,0.11149354
0.13636364,0.14386527
0.12418301,0.116386965
0.118421055,0.1367283
0.15436241,0.11298219
0.12328767,0.11092164
0.1724138,0.17036143
0.16666667,0.16973533
0.1056338,0.08390289
0.107913665,0.13012213
0.13235295,0.13511717
0.1037037,0.12561935
0.15671642,0.1311697
0.1716418,0.17085336
0.17557251,0.14304017
0.129771,0.10528793
0.1007752,0.11558134
0.12598425,0.11242709
0.18548387,0.17836347
0.094827585,0.0942415
0.14782609,0.15340748
0.15044248,0.16170275
0.13636364,0.09590899
0.14545454,0.12863807
0.14018692,0.12500066
0.1923077,0.1886056
0.15686275,0.15502541
0.17,0.18908684
0.15,0.13512745
0.121212125,0.1284844
0.14285715,0.17936558
0.14893617,0.13099162
0.11702128,0.1055238
0.13829787,0.1497189
0.11702128,0.1393638
0.12765957,0.11830094
0.08988764,0.08745688
0.06741573,0.09074281
0.125,0.11476631
0.18181819,0.15331893
0.14117648,0.17016321
0.071428575,0.13362254
0.0952381,0.11535807
0.15476191,0.1298796
0.084337346,0.062834986
0.10843374,0.13171524
0.07317073,0.068558484
0.13414635,0.12908754
0.085365854,0.11451619
0.086419754,0.13757005
0.1875,0.1218661
0.16455697,0.13295831
0.14102565,0.13115107
0.102564104,0.09490269
0.077922076,0.120279774
0.064935066,0.07935965
0.116883114,0.10947887
0.15584415,0.1592053
0.17105263,0.20689493
0.093333334,0.14190187
0.16,0.13594349
0.093333334,0.08452613
0.10666667,0.14150488
0.10810811,0.1322334
0.14864865,0.11282495
0.20547946,0.18047865
0.12328767,0.17814101
0.15068494,0.13709219
0.15277778,0.17649265
0.11111111,0.10708345
0.09859155,0.12053336
0.2,0.19816747
0.072463766,0.074201584
0.17391305,0.14935285
0.092307694,0.10901286
0.23076923,0.22713052
0.078125,0.09774006
0.032258064,0.039040364
0.2,0.21393839
0.13333334,0.12845951
0.1,0.122235715
0.083333336,0.10755181
0.16949153,0.11914771
0.118644066,0.10315475
0.20338982,0.1753523
0.13793103,0.16116117
0.12068965,0.14257059
0.12068965,0.12999623
0.1754386,0.16349696
0.0877193,0.1344926
0.07017544,0.113511845
0.14285715,0.113910936
0.125,0.11487475
0.14285715,0.139717
0.16071428,0.10971381
0.18181819,0.17296
0.23636363,0.15670566
0.2,0.1816603
0.2,0.18070555
0.09090909,0.1082254
0.16666667,0.16479947
0.074074075,0.103280924
0.16666667,0.1465857
0.11111111,0.08704894
0.1509434,0.14238714
0.16981132,0.15070473
0.13207547,0.10788596
0.16981132,0.11722586
0.20754717,0.17372885
0.019607844,0.06547559
0.15686275,0.1605168
0.09803922,0.12135573
0.2,0.15572037
0.14,0.13995485
0.1,0.08477439
0.08163265,0.1208966
0.083333336,0.10608571
0.104166664,0.10098384
0.125,0.13838051
