Epoch,Loss_train
1,"(0.7035456299781799,)"
2,"(0.6848801374435425,)"
3,"(0.6672604084014893,)"
4,"(0.6504451036453247,)"
5,"(0.6343031525611877,)"
6,"(0.6186935901641846,)"
7,"(0.6035728454589844,)"
8,"(0.5888932347297668,)"
9,"(0.5746611952781677,)"
10,"(0.5609627962112427,)"
11,"(0.5479146838188171,)"
12,"(0.5355508923530579,)"
13,"(0.5239798426628113,)"
14,"(0.5132090449333191,)"
15,"(0.5033562779426575,)"
16,"(0.494472473859787,)"
17,"(0.48658663034439087,)"
18,"(0.4796617329120636,)"
19,"(0.4736989438533783,)"
20,"(0.4686547815799713,)"
21,"(0.46445953845977783,)"
22,"(0.46102985739707947,)"
23,"(0.45826905965805054,)"
24,"(0.456071674823761,)"
25,"(0.45433008670806885,)"
26,"(0.45293766260147095,)"
27,"(0.45179304480552673,)"
28,"(0.4507980942726135,)"
29,"(0.4498765170574188,)"
30,"(0.44896605610847473,)"
31,"(0.4480156898498535,)"
32,"(0.44698941707611084,)"
33,"(0.4458666443824768,)"
34,"(0.4446398615837097,)"
35,"(0.44331395626068115,)"
36,"(0.441902756690979,)"
37,"(0.4404279589653015,)"
38,"(0.43891602754592896,)"
39,"(0.43739423155784607,)"
40,"(0.43589121103286743,)"
41,"(0.4344339668750763,)"
42,"(0.4330456852912903,)"
43,"(0.43174684047698975,)"
44,"(0.43055129051208496,)"
45,"(0.42946624755859375,)"
46,"(0.42849478125572205,)"
47,"(0.42763227224349976,)"
48,"(0.42687004804611206,)"
49,"(0.42619723081588745,)"
50,"(0.4255998432636261,)"
51,"(0.4250634014606476,)"
52,"(0.42457252740859985,)"
53,"(0.42411309480667114,)"
54,"(0.42367255687713623,)"
55,"(0.42324012517929077,)"
56,"(0.4228076934814453,)"
57,"(0.42236974835395813,)"
58,"(0.42192360758781433,)"
59,"(0.42146939039230347,)"
60,"(0.42100828886032104,)"
61,"(0.4205431640148163,)"
62,"(0.42007702589035034,)"
63,"(0.4196142852306366,)"
64,"(0.4191587567329407,)"
65,"(0.4187135696411133,)"
66,"(0.4182814359664917,)"
67,"(0.4178636074066162,)"
68,"(0.41746094822883606,)"
69,"(0.4170731008052826,)"
70,"(0.4166993796825409,)"
71,"(0.41633814573287964,)"
72,"(0.4159873425960541,)"
73,"(0.41564488410949707,)"
74,"(0.41530871391296387,)"
75,"(0.41497689485549927,)"
76,"(0.41464805603027344,)"
77,"(0.4143213629722595,)"
78,"(0.4139963984489441,)"
79,"(0.4136733412742615,)"
80,"(0.41335248947143555,)"
81,"(0.41303473711013794,)"
82,"(0.4127211570739746,)"
83,"(0.4124120771884918,)"
84,"(0.412108451128006,)"
85,"(0.41181129217147827,)"
86,"(0.4115212857723236,)"
87,"(0.4112381637096405,)"
88,"(0.4109624922275543,)"
89,"(0.41069385409355164,)"
90,"(0.41043174266815186,)"
91,"(0.410175621509552,)"
92,"(0.40992507338523865,)"
93,"(0.4096798002719879,)"
94,"(0.40943944454193115,)"
95,"(0.4092041254043579,)"
96,"(0.4089738726615906,)"
97,"(0.40874868631362915,)"
98,"(0.4085289537906647,)"
99,"(0.40831467509269714,)"
100,"(0.40810585021972656,)"
101,"(0.4079025089740753,)"
102,"(0.4077049493789673,)"
103,"(0.40751320123672485,)"
104,"(0.40732714533805847,)"
105,"(0.4071466326713562,)"
106,"(0.4069715142250061,)"
107,"(0.40680164098739624,)"
108,"(0.40663695335388184,)"
109,"(0.40647709369659424,)"
110,"(0.40632230043411255,)"
111,"(0.4061722457408905,)"
112,"(0.4060269594192505,)"
113,"(0.40588653087615967,)"
114,"(0.40575090050697327,)"
115,"(0.40561985969543457,)"
116,"(0.40549319982528687,)"
117,"(0.40537118911743164,)"
118,"(0.405253529548645,)"
119,"(0.4051399230957031,)"
120,"(0.4050302505493164,)"
121,"(0.40492454171180725,)"
122,"(0.4048226773738861,)"
123,"(0.40472450852394104,)"
124,"(0.40462982654571533,)"
125,"(0.40453869104385376,)"
126,"(0.4044509828090668,)"
127,"(0.4043663740158081,)"
128,"(0.404284805059433,)"
129,"(0.40420621633529663,)"
130,"(0.4041304290294647,)"
131,"(0.4040573835372925,)"
132,"(0.40398702025413513,)"
133,"(0.40391892194747925,)"
134,"(0.40385326743125916,)"
135,"(0.4037895202636719,)"
136,"(0.40372782945632935,)"
137,"(0.4036679267883301,)"
138,"(0.4036100208759308,)"
139,"(0.40355366468429565,)"
140,"(0.4034990668296814,)"
141,"(0.40344592928886414,)"
142,"(0.40339401364326477,)"
143,"(0.4033433198928833,)"
144,"(0.40329402685165405,)"
145,"(0.4032459259033203,)"
146,"(0.4031987488269806,)"
147,"(0.40315255522727966,)"
148,"(0.40310731530189514,)"
149,"(0.4030629098415375,)"
150,"(0.4030192196369171,)"
151,"(0.40297654271125793,)"
152,"(0.4029346704483032,)"
153,"(0.40289339423179626,)"
154,"(0.40285271406173706,)"
155,"(0.4028126299381256,)"
156,"(0.40277308225631714,)"
157,"(0.4027339518070221,)"
158,"(0.4026949405670166,)"
159,"(0.40265631675720215,)"
160,"(0.4026181101799011,)"
161,"(0.4025801420211792,)"
162,"(0.40254247188568115,)"
163,"(0.40250498056411743,)"
164,"(0.4024677276611328,)"
165,"(0.4024306833744049,)"
166,"(0.40239372849464417,)"
167,"(0.40235698223114014,)"
168,"(0.4023202359676361,)"
169,"(0.4022834599018097,)"
170,"(0.4022466838359833,)"
171,"(0.40220993757247925,)"
172,"(0.4021732211112976,)"
173,"(0.4021364152431488,)"
174,"(0.4020995795726776,)"
175,"(0.4020627439022064,)"
176,"(0.4020257592201233,)"
177,"(0.4019886553287506,)"
178,"(0.4019514322280884,)"
179,"(0.4019140899181366,)"
180,"(0.4018765985965729,)"
181,"(0.40183907747268677,)"
182,"(0.4018014073371887,)"
183,"(0.4017637073993683,)"
184,"(0.40172603726387024,)"
185,"(0.4016883373260498,)"
186,"(0.4016505181789398,)"
187,"(0.40161263942718506,)"
188,"(0.40157467126846313,)"
189,"(0.40153664350509644,)"
190,"(0.40149855613708496,)"
191,"(0.40146028995513916,)"
192,"(0.4014219641685486,)"
193,"(0.4013834595680237,)"
194,"(0.40134477615356445,)"
195,"(0.4013059735298157,)"
196,"(0.4012671411037445,)"
197,"(0.40122824907302856,)"
198,"(0.40118932723999023,)"
199,"(0.40115031599998474,)"
200,"(0.4011112153530121,)"
201,"(0.4010721743106842,)"
202,"(0.4010329842567444,)"
203,"(0.40099355578422546,)"
204,"(0.4009540379047394,)"
205,"(0.40091443061828613,)"
206,"(0.4008745551109314,)"
207,"(0.4008345901966095,)"
208,"(0.4007943272590637,)"
209,"(0.400753915309906,)"
210,"(0.4007132351398468,)"
211,"(0.4006723463535309,)"
212,"(0.4006311893463135,)"
213,"(0.4005897343158722,)"
214,"(0.40054813027381897,)"
215,"(0.40050649642944336,)"
216,"(0.4004647731781006,)"
217,"(0.4004230201244354,)"
218,"(0.4003811180591583,)"
219,"(0.4003390967845917,)"
220,"(0.40029698610305786,)"
221,"(0.4002547562122345,)"
222,"(0.4002123773097992,)"
223,"(0.4001699388027191,)"
224,"(0.40012767910957336,)"
225,"(0.4000851809978485,)"
226,"(0.4000425934791565,)"
227,"(0.399999737739563,)"
228,"(0.3999565541744232,)"
229,"(0.3999134302139282,)"
230,"(0.39987000823020935,)"
231,"(0.3998264670372009,)"
232,"(0.3997827172279358,)"
233,"(0.3997388482093811,)"
234,"(0.39969518780708313,)"
235,"(0.3996513783931732,)"
236,"(0.39960721135139465,)"
237,"(0.39956289529800415,)"
238,"(0.3995184302330017,)"
239,"(0.3994736969470978,)"
240,"(0.3994288742542267,)"
241,"(0.39938393235206604,)"
242,"(0.39933863282203674,)"
243,"(0.3992932438850403,)"
244,"(0.3992479741573334,)"
245,"(0.39920273423194885,)"
246,"(0.3991573750972748,)"
247,"(0.39911186695098877,)"
248,"(0.3990662395954132,)"
249,"(0.3990204632282257,)"
250,"(0.39897462725639343,)"
251,"(0.39892861247062683,)"
252,"(0.3988824784755707,)"
253,"(0.3988361954689026,)"
254,"(0.3987898528575897,)"
255,"(0.39874327182769775,)"
256,"(0.3986966907978058,)"
257,"(0.39865022897720337,)"
258,"(0.39860379695892334,)"
259,"(0.39855703711509705,)"
260,"(0.398510217666626,)"
261,"(0.39846330881118774,)"
262,"(0.3984164297580719,)"
263,"(0.39836958050727844,)"
264,"(0.39832252264022827,)"
265,"(0.3982754051685333,)"
266,"(0.3982280492782593,)"
267,"(0.3981807231903076,)"
268,"(0.3981330990791321,)"
269,"(0.3980853855609894,)"
270,"(0.3980376422405243,)"
271,"(0.3979896903038025,)"
272,"(0.3979417681694031,)"
273,"(0.39789384603500366,)"
274,"(0.39784562587738037,)"
275,"(0.39779743552207947,)"
276,"(0.3977490961551666,)"
277,"(0.3977007567882538,)"
278,"(0.39765214920043945,)"
279,"(0.39760348200798035,)"
280,"(0.39755481481552124,)"
281,"(0.39750608801841736,)"
282,"(0.39745715260505676,)"
283,"(0.3974079191684723,)"
284,"(0.39735859632492065,)"
285,"(0.397309273481369,)"
286,"(0.3972596526145935,)"
287,"(0.3972097933292389,)"
288,"(0.3971598148345947,)"
289,"(0.397109717130661,)"
290,"(0.39705947041511536,)"
291,"(0.3970092833042145,)"
292,"(0.39695894718170166,)"
293,"(0.39690864086151123,)"
294,"(0.3968580365180969,)"
295,"(0.3968070447444916,)"
296,"(0.39675578474998474,)"
297,"(0.39670443534851074,)"
298,"(0.39665287733078003,)"
299,"(0.3966009020805359,)"
300,"(0.3965487480163574,)"
301,"(0.39649635553359985,)"
302,"(0.3964436948299408,)"
303,"(0.3963911533355713,)"
304,"(0.3963383734226227,)"
305,"(0.39628544449806213,)"
306,"(0.396232545375824,)"
307,"(0.39617958664894104,)"
308,"(0.39612647891044617,)"
309,"(0.3960733115673065,)"
310,"(0.3960202634334564,)"
311,"(0.39596712589263916,)"
312,"(0.3959137201309204,)"
313,"(0.3958602547645569,)"
314,"(0.39580675959587097,)"
315,"(0.3957529366016388,)"
316,"(0.3956989645957947,)"
317,"(0.3956450819969177,)"
318,"(0.39559099078178406,)"
319,"(0.39553678035736084,)"
320,"(0.3954824209213257,)"
321,"(0.3954279124736786,)"
322,"(0.39537331461906433,)"
323,"(0.39531850814819336,)"
324,"(0.3952633738517761,)"
325,"(0.3952084183692932,)"
326,"(0.39515331387519836,)"
327,"(0.3950980603694916,)"
328,"(0.39504286646842957,)"
329,"(0.394987553358078,)"
330,"(0.3949321508407593,)"
331,"(0.39487653970718384,)"
332,"(0.3948206305503845,)"
