epoch,activation,layers,hidden_dim_1,hidden_dim_2,learning_rate,value
500,RELU,1,100,,0.0026933629243587895,0.4284115534822146
500,RELU,1,100,,0.002858000341421693,0.4288922757307688
500,RELU,2,300,100.0,0.0002744132969026687,0.4352934739391009
500,RELU,2,100,400.0,0.0002589833487514228,0.43552734488248823
500,RELU,2,200,500.0,0.00015512223433178572,0.4384485684235891
100,RELU,2,200,500.0,0.0007794973546043123,0.43852628966172535
500,RELU,2,200,500.0,0.00013656953244470498,0.43958432173728945
1000,RELU,2,300,400.0,5.2219080982534165e-05,0.44397760164737704
500,RELU,2,100,400.0,0.00012580791660097554,0.4556481680075328
5000,RELU,2,400,200.0,3.1055301711671e-05,0.45638932153781253
10000,RELU,1,500,,6.77208673137383e-05,0.4586101047148307
1000,LRELU,2,200,300.0,2.2466498530856182e-05,0.4977321513791879
2000,LRELU,1,400,,0.0013882449437215268,0.59501541959246
100,RELU,2,300,300.0,1.5326580965711738e-05,0.6614473632971446
100,LRELU,1,500,,1.2201552287885949e-05,0.6685903002818425
2000,LRELU,2,100,300.0,0.00030636989507630037,0.762575077270468
500,RELU,2,100,400.0,0.004258263195663248,0.9549986089468002
10000,LRELU,1,400,,0.0008087625397064527,1.0587277490317821
500,RELU,2,300,100.0,0.008318740896160711,1.091963610827923
5000,RELU,2,300,100.0,0.0004163535174392799,1.562427689955632
