risk_true,risk_predicted
0.13007413,0.014035462
0.12452919,0.002076792
0.14224872,0.0011739581
0.10754332,9.046988e-09
0.15720771,0.018384347
0.13452914,0.0014675249
0.11856474,3.188777e-05
0.12434326,0.00014303997
0.14577778,0.00024505574
0.15151516,0.015820945
0.13283208,5.331949e-05
0.113520406,9.15978e-05
0.14304462,4.5967772e-05
0.1525199,0.00092399865
0.16165951,2.0586756e-05
0.13733906,1.9471125e-05
0.112716764,0.00026952437
0.1447178,4.5241846e-05
0.15296052,0.0012370074
0.15304348,0.00052002503
0.14464286,0.0009001888
0.14074074,3.2150918e-05
0.13636364,3.913875e-05
0.17344753,0.0022263476
0.12803532,7.822082e-09
0.08527132,0.2802665
0.15544042,0.00013134729
0.1697128,9.44202e-05
0.125,6.801894e-05
0.17270195,2.8250452e-05
0.11048159,0.042675488
0.16320474,3.1313994e-05
0.13414635,0.0019079681
0.17701863,0.00015295621
0.11838006,0.00020228158
0.12140575,4.4813274e-05
0.15,9.514008e-08
0.117056854,0.0006879892
0.11447811,6.976932e-06
0.121527776,0.0013602341
0.14545454,0.056992467
0.091240875,0.0005302449
0.10486891,1.2931957e-07
0.0859375,7.408267e-05
0.14403293,1.066054e-09
0.1446281,4.373337e-05
0.16666667,0.035591956
0.13777778,3.1922912e-07
0.13744076,4.783499e-05
0.1042654,0.00035940515
0.09134615,0.01573386
0.1875,1.5338741e-05
0.16582915,0.018485816
0.1185567,0.001254601
0.119170986,1.6708686e-05
0.13989638,0.000547663
0.1,0.00014908535
0.15873016,0.0060760677
0.15846995,6.590498e-05
0.09392265,2.0956545e-08
0.10555556,0.014168502
0.11173184,0.000635259
0.118644066,2.4585128e-05
0.118644066,0.044261668
0.15517241,3.2268807e-05
0.18965517,1.8563855e-05
0.15662651,2.472106e-09
0.09146342,2.4639508e-06
0.111801244,0.00019010293
0.13636364,6.752352e-06
0.12418301,2.9008288e-06
0.118421055,0.00042143182
0.15436241,0.00024796752
0.12328767,1.8119817e-08
0.1724138,0.013860258
0.16666667,1.161567e-05
0.1056338,0.00044206233
0.107913665,0.00013072017
0.13235295,0.0012557948
0.1037037,4.6955745e-05
0.15671642,0.031026352
0.1716418,0.00014312989
0.17557251,1.207777e-08
0.129771,6.449138e-07
0.1007752,1.111248e-08
0.12598425,5.363696e-05
0.18548387,5.8424605e-05
0.094827585,0.0011378223
0.14782609,8.896794e-05
0.15044248,0.027204493
0.13636364,3.9336508e-05
0.14545454,5.4327586e-05
0.14018692,0.0011651925
0.1923077,9.613515e-06
0.15686275,0.011243383
0.17,1.3850296e-08
0.15,0.0310192
0.121212125,0.042327497
0.14285715,0.03343677
0.14893617,0.020455986
0.11702128,9.328635e-09
0.13829787,0.00061257125
0.11702128,0.0005201252
0.12765957,3.1495622e-07
0.08988764,0.00035234573
0.06741573,4.316766e-09
0.125,0.25027594
0.18181819,8.640772e-08
0.14117648,0.01534615
0.071428575,0.00024441915
0.0952381,6.1551527e-06
0.15476191,7.718767e-09
0.084337346,0.00010023236
0.10843374,0.06416819
0.07317073,7.88003e-05
0.13414635,0.011797656
0.085365854,1.5618756e-05
0.086419754,0.018465849
0.1875,7.3118194e-08
0.16455697,0.00040194902
0.14102565,0.013711696
0.102564104,0.00010437285
0.077922076,6.5288395e-06
0.064935066,0.0039666444
0.116883114,0.00036320483
0.15584415,0.0001191017
0.17105263,0.02056727
0.093333334,2.686736e-06
0.16,1.7459613e-06
0.093333334,1.12051104e-07
0.10666667,0.00024210954
0.10810811,3.990393e-06
0.14864865,2.9527662e-06
0.20547946,0.013020105
0.12328767,0.00014821829
0.15068494,7.91817e-08
0.15277778,0.01396756
0.11111111,1.100558e-08
0.09859155,0.0003117967
0.2,2.5901175e-09
0.072463766,0.25455567
0.17391305,6.331646e-06
0.092307694,3.168582e-05
0.23076923,0.05799347
0.078125,0.010922615
0.032258064,1.5668451e-05
0.2,4.0507068e-05
0.13333334,3.1318294e-05
0.1,0.017788352
0.083333336,5.262081e-06
0.16949153,0.00039654798
0.118644066,2.3117882e-05
0.20338982,0.00041935293
0.13793103,1.2580086e-08
0.12068965,0.0012199815
0.12068965,0.0002044194
0.1754386,0.0011958845
0.0877193,0.0420054
0.07017544,2.4428708e-05
0.14285715,9.0127267e-10
0.125,1.4760219e-08
0.14285715,7.511256e-07
0.16071428,2.0442399e-09
0.18181819,0.0016587371
0.23636363,0.035432592
0.2,2.9025088e-07
0.2,1.8040059e-07
0.09090909,8.72941e-09
0.16666667,8.535236e-06
0.074074075,6.540473e-05
0.16666667,0.00011440928
0.11111111,2.6952694e-05
0.1509434,0.019913888
0.16981132,0.012186909
0.13207547,0.0013303655
0.16981132,8.796918e-09
0.20754717,1.5341175e-08
0.019607844,4.9344803e-06
0.15686275,0.017285557
0.09803922,4.105862e-05
0.2,0.00037066403
0.14,0.00030773485
0.1,2.2492143e-08
0.08163265,2.307804e-06
0.083333336,4.1181045e-09
0.104166664,2.2165466e-06
0.125,2.8360918e-07
0.14893617,5.3165686e-06
0.10869565,0.00033019175
0.06521739,1.7275173e-07
0.06666667,1.0865852e-08
